request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_108,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_109,976.48,affordable_with_plan,installments,2024-03-18:645.98;2024-04-18:645.98;2024-05-19:645.98,2024-05-19,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_11,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69;2025-09-03:7748.69;2025-10-01:7748.69,2025-10-01,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,,Pay 16625000.00 today. The projected balance remains above the required minimum.
request_112,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_113,36500.00,affordable_now,full_payment,2026-09-04:36500,2026-09-04,,Pay 36500.00 today. The projected balance remains above the required minimum.
request_114,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_115,17378.84,affordable_later,wait,2024-10-14:80500,2024-10-14,,Wait until 2024-10-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_116,28663.98,affordable_later,wait,2025-04-15:241200,2025-04-15,,Wait until 2025-04-15 to make the full payment. Paying earlier would risk the required minimum balance.
request_117,880.00,affordable_now,full_payment,2026-07-05:880,2026-07-05,,Pay 880.00 today. The projected balance remains above the required minimum.
request_118,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_119,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_12,65164.00,affordable_with_plan,installments,2026-04-19:22590.19;2026-05-20:22590.19;2026-06-20:22590.19,2026-06-20,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,,Pay 7714000.00 today. The projected balance remains above the required minimum.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,,Pay 633.60 today. The projected balance remains above the required minimum.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33;2025-09-02:7126773.33;2025-09-30:7126773.33,2025-09-30,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,,Pay 4076000.00 today. The projected balance remains above the required minimum.
request_124,1531.09,affordable_with_plan,installments,2024-06-11:1076.12;2024-07-12:1076.12;2024-08-12:1076.12,2024-08-12,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_125,6468.00,affordable_now,full_payment,2025-11-06:6468,2025-11-06,,Pay 6468.00 today. The projected balance remains above the required minimum.
request_126,66459.27,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_127,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_128,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_129,189.01,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_13,582.77,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_130,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_131,1382.16,affordable_with_plan,installments,2025-05-06:643.14;2025-06-03:643.14;2025-07-01:643.14,2025-07-01,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_132,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_133,5467535.27,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_134,7892246.83,affordable_later,wait,2025-09-13:21831000,2025-09-13,,Wait until 2025-09-13 to make the full payment. Paying earlier would risk the required minimum balance.
request_135,304.80,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,,Pay 304.80 today. The projected balance remains above the required minimum.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,,Pay 560.40 today. The projected balance remains above the required minimum.
request_137,45701.60,affordable_later,wait,2025-11-14:80100,2025-11-14,,Wait until 2025-11-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_138,1209.90,affordable_with_plan,installments,2026-04-07:435.74;2026-05-05:435.74;2026-06-02:435.74,2026-06-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_139,2010.73,affordable_with_plan,installments,2024-09-07:802.88;2024-10-08:802.88;2024-11-08:802.88,2024-11-08,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_14,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_140,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_141,37222.85,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,,Pay 1263.60 today. The projected balance remains above the required minimum.
request_143,4424.95,affordable_later,wait,2025-06-16:12584,2025-06-16,,Wait until 2025-06-16 to make the full payment. Paying earlier would risk the required minimum balance.
request_144,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_145,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_146,25557.20,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_147,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_148,13181.08,affordable_with_plan,installments,2024-06-14:7710.56;2024-07-15:7710.56;2024-08-15:7710.56,2024-08-15,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_149,28458.30,affordable_with_plan,installments,2025-11-18:12706.03;2025-12-16:12706.03;2026-01-13:12706.03,2026-01-13,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_15,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_150,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,,Pay 26999000.00 today. The projected balance remains above the required minimum.
request_152,13463.57,affordable_with_plan,installments,2025-02-12:4812.43;2025-03-12:4812.43;2025-04-09:4812.43,2025-04-09,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_153,320.64,affordable_later,wait,2026-09-13:2830.8,2026-09-13,,Wait until 2026-09-13 to make the full payment. Paying earlier would risk the required minimum balance.
request_154,1290.78,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_155,69531.26,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_156,11593.08,affordable_later,wait,2026-05-14:43076,2026-05-14,,Wait until 2026-05-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_157,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_158,242600.00,affordable_with_plan,installments,2025-08-07:84101.33;2025-09-04:84101.33;2025-10-02:84101.33,2025-10-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_159,13398.00,affordable_now,full_payment,2026-01-04:13398,2026-01-04,,Pay 13398.00 today. The projected balance remains above the required minimum.
request_16,122500.00,affordable_now,full_payment,2023-08-12:122500,2023-08-12,,Pay 122500.00 today. The projected balance remains above the required minimum.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05;2024-07-14:432.05;2024-08-14:432.05,2024-08-14,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_161,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_162,5230315.27,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_163,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_164,3310004.94,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_165,80600.00,affordable_now,full_payment,2026-04-06:80600,2026-04-06,,Pay 80600.00 today. The projected balance remains above the required minimum.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97;2025-01-03:1007.97;2025-02-03:1007.97,2025-02-03,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_167,43802.00,affordable_now,full_payment,2025-05-05:43802,2025-05-05,,Pay 43802.00 today. The projected balance remains above the required minimum.
request_168,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_169,41976.00,affordable_now,full_payment,2024-03-04:41976,2024-03-04,,Pay 41976.00 today. The projected balance remains above the required minimum.
request_17,274600.00,affordable_with_plan,installments,2026-03-01:95194.67;2026-03-31:95194.67;2026-04-30:95194.67,2026-04-30,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_170,35305577.09,affordable_with_plan,installments,2025-08-06:12804480;2025-09-03:12804480;2025-10-01:12804480,2025-10-01,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_171,127.95,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_172,10200.00,affordable_with_plan,full_payment,2024-06-05:10200,2024-06-05,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_173,77831.63,affordable_with_plan,installments,2025-11-21:39173.33;2025-12-19:39173.33;2026-01-16:39173.33,2026-01-16,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35;2026-05-04:397.35;2026-06-03:397.35,2026-06-03,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_175,1592.70,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_176,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_177,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54;2025-01-07:1018.54;2025-02-07:1018.54,2025-02-07,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_179,13694869.84,affordable_later,wait,2025-06-16:41648000,2025-06-16,,Wait until 2025-06-16 to make the full payment. Paying earlier would risk the required minimum balance.
request_18,758.16,affordable_later,wait,2026-08-14:3246.1,2026-08-14,,Wait until 2026-08-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_180,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_181,648.25,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_182,46583.27,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_183,26866000.00,affordable_with_plan,installments,2026-04-10:9313546.67;2026-05-10:9313546.67;2026-06-09:9313546.67,2026-06-09,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_184,26732.00,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_185,620.23,affordable_with_plan,partial_payment,2025-11-06:620.23;2025-11-14:637.07,2025-11-14,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_186,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_187,46958.50,affordable_with_plan,partial_payment,2024-09-05:46958.50;2024-10-14:140541.50,2024-10-14,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_188,354.30,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,,Pay 488.40 today. The projected balance remains above the required minimum.
request_19,39660.00,affordable_with_plan,full_payment,2024-09-04:39660,2024-09-04,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_190,211.52,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,,Pay 664.40 today. The projected balance remains above the required minimum.
request_192,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_193,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_194,53235.25,affordable_later,wait,2025-09-21:132800,2025-09-21,,Wait until 2025-09-21 to make the full payment. Paying earlier would risk the required minimum balance.
request_195,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,,Pay 762.30 today. The projected balance remains above the required minimum.
request_197,41952.90,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800,2026-07-07,,Pay 185800.00 today. The projected balance remains above the required minimum.
request_199,23674000.00,affordable_with_plan,installments,2024-09-07:8206986.67;2024-10-08:8206986.67;2024-11-08:8206986.67,2024-11-08,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_20,26429.51,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_200,7927451.68,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_201,23997000.00,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,,Pay 23997000.00 today. The projected balance remains above the required minimum.
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900,2024-12-05,,Pay 123900.00 today. The projected balance remains above the required minimum.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93;2025-06-07:499.93;2025-07-05:499.93,2025-07-05,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_204,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,,Pay 10621000.00 today. The projected balance remains above the required minimum.
request_206,1404.70,affordable_with_plan,full_payment,2025-08-03:1404.7,2025-08-03,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_207,7487.05,affordable_later,wait,2026-07-15:11830,2026-07-15,,Wait until 2026-07-15 to make the full payment. Paying earlier would risk the required minimum balance.
request_208,4413000.00,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,,Pay 4413000.00 today. The projected balance remains above the required minimum.
request_209,3622.73,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_21,1574.40,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,,Pay 1574.40 today. The projected balance remains above the required minimum.
request_210,1220.14,affordable_with_plan,installments,2026-04-06:471.48;2026-05-04:471.48;2026-06-01:471.48,2026-06-01,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_211,566.33,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_212,11825498.20,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63;2026-02-20:1165.63;2026-03-22:1165.63,2026-03-22,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_214,69750.00,affordable_with_plan,full_payment,2024-12-04:69750,2024-12-04,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_215,29986.00,affordable_with_plan,full_payment,2025-05-06:29986,2025-05-06,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_216,774.02,affordable_later,wait,2026-08-14:3332.4,2026-08-14,,Wait until 2026-08-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_217,17451.95,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_218,28894411.74,affordable_with_plan,installments,2025-08-07:21195893.33;2025-09-04:21195893.33;2025-10-02:21195893.33,2025-10-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_219,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_22,532.51,affordable_with_plan,installments,2024-12-08:253.59;2025-01-05:253.59;2025-02-02:253.59,2025-02-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_220,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800,2025-11-03,,Pay 109800.00 today. The projected balance remains above the required minimum.
request_222,34078.00,affordable_now,full_payment,2026-01-05:34078,2026-01-05,,Pay 34078.00 today. The projected balance remains above the required minimum.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,,Pay 898.70 today. The projected balance remains above the required minimum.
request_224,10327000.00,affordable_with_plan,full_payment,2025-02-04:10327000,2025-02-04,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_225,12930654.79,affordable_with_plan,installments,2026-07-20:7647120;2026-08-19:7647120;2026-09-18:7647120,2026-09-18,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_226,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_227,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_228,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_229,590.69,affordable_with_plan,installments,2024-03-18:529.29;2024-04-18:529.29;2024-05-19:529.29,2024-05-19,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_23,10468.56,affordable_later,wait,2025-06-16:38016,2025-06-16,,Wait until 2025-06-16 to make the full payment. Paying earlier would risk the required minimum balance.
request_230,880.03,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_231,35706.00,affordable_with_plan,full_payment,2026-01-03:35706,2026-01-03,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_232,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_233,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_234,297.61,affordable_later,wait,2026-08-14:1213.3,2026-08-14,,Wait until 2026-08-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,,Pay 967.20 today. The projected balance remains above the required minimum.
request_236,7338973.99,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_237,23826000.00,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,,Pay 23826000.00 today. The projected balance remains above the required minimum.
request_238,296.71,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_239,482.96,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_24,24468.44,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_240,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_241,21052000.00,affordable_with_plan,installments,2024-03-17:7298026.67;2024-04-17:7298026.67;2024-05-18:7298026.67,2024-05-18,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_242,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_243,17468.00,affordable_now,full_payment,2026-07-07:17468,2026-07-07,,Pay 17468.00 today. The projected balance remains above the required minimum.
request_244,49918.00,affordable_now,full_payment,2024-06-04:49918,2024-06-04,,Pay 49918.00 today. The projected balance remains above the required minimum.
request_245,47644.70,affordable_later,wait,2025-12-14:128500,2025-12-14,,Wait until 2025-12-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_246,64086.00,affordable_with_plan,installments,2026-04-03:22216.48;2026-05-03:22216.48;2026-06-02:22216.48,2026-06-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_247,215.02,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_248,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_249,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_25,4685888.06,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_250,18123.08,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_251,1513.60,affordable_later,wait,2025-05-03:1513.6,2025-05-03,,Wait until 2025-05-03 to make the full payment. Paying earlier would risk the required minimum balance.
request_252,6305274.65,affordable_later,wait,2026-08-14:28082000,2026-08-14,,Wait until 2026-08-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_253,1651.69,affordable_with_plan,installments,2024-03-21:984.6;2024-04-21:984.6;2024-05-22:984.6,2024-05-22,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_254,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_255,3345000.00,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,,Pay 3345000.00 today. The projected balance remains above the required minimum.
request_256,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_257,798.42,affordable_later,wait,2025-11-15:1352.4,2025-11-15,,Wait until 2025-11-15 to make the full payment. Paying earlier would risk the required minimum balance.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,,Pay 1113.60 today. The projected balance remains above the required minimum.
request_259,496.37,affordable_later,wait,2024-10-14:935,2024-10-14,,Wait until 2024-10-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,,Pay 15656000.00 today. The projected balance remains above the required minimum.
request_260,12646400.00,affordable_later,wait,2025-04-15:52079000,2025-04-15,,Wait until 2025-04-15 to make the full payment. Paying earlier would risk the required minimum balance.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,,Pay 1830.40 today. The projected balance remains above the required minimum.
request_262,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_263,11586.44,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_264,33761.06,affordable_later,wait,2026-05-14:111300,2026-05-14,,Wait until 2026-05-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_265,45970.00,affordable_now,full_payment,2024-03-06:45970,2024-03-06,,Pay 45970.00 today. The projected balance remains above the required minimum.
request_266,935.00,affordable_with_plan,installments,2025-08-03:324.13;2025-08-31:324.13;2025-09-28:324.13,2025-09-28,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_267,1899.77,affordable_with_plan,installments,2026-01-08:667.33;2026-02-07:667.33;2026-03-09:667.33,2026-03-09,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_268,1148.52,affordable_with_plan,installments,2024-06-14:841.22;2024-07-15:841.22;2024-08-15:841.22,2024-08-15,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_269,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670,2026-07-05,,Pay 6670.00 today. The projected balance remains above the required minimum.
request_270,288.77,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_271,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_272,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_273,11908060.96,affordable_with_plan,installments,2026-04-07:5498480;2026-05-05:5498480;2026-06-02:5498480,2026-06-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_274,2699.52,affordable_with_plan,installments,2024-12-04:940.75;2025-01-04:940.75;2025-02-04:940.75,2025-02-04,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_275,15884000.00,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,,Pay 15884000.00 today. The projected balance remains above the required minimum.
request_28,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_29,51524.00,affordable_now,full_payment,2025-11-04:51524,2025-11-04,,Pay 51524.00 today. The projected balance remains above the required minimum.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74;2026-05-06:268.74;2026-06-05:268.74,2026-06-05,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_31,2204227.70,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_32,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_33,65180.00,affordable_later,wait,2026-01-14:118000,2026-01-14,,Wait until 2026-01-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400,2024-12-04,,Pay 129400.00 today. The projected balance remains above the required minimum.
request_35,55433.16,affordable_later,wait,2025-12-16:212000,2025-12-16,,Wait until 2025-12-16 to make the full payment. Paying earlier would risk the required minimum balance.
request_36,998.90,affordable_later,wait,2026-08-14:3954,2026-08-14,,Wait until 2026-08-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_37,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_38,259.02,affordable_later,wait,2025-09-13:971.3,2025-09-13,,Wait until 2025-09-13 to make the full payment. Paying earlier would risk the required minimum balance.
request_39,158670.34,affordable_later,wait,2026-04-15:208600,2026-04-15,,Wait until 2026-04-15 to make the full payment. Paying earlier would risk the required minimum balance.
request_40,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_41,15526600.15,affordable_later,wait,2025-11-15:38760000,2025-11-15,,Wait until 2025-11-15 to make the full payment. Paying earlier would risk the required minimum balance.
request_42,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
